2021-11-11 21:31:02,627 p=25093 u=rob n=ansible | PLAY [prepare node and Lab] ***************************************************************************************************************************************************************************
2021-11-11 21:32:24,341 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] |     buf = self.packetizer.readline(timeout)
2021-11-11 21:32:24,341 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 380, in readline
2021-11-11 21:32:24,341 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 380, in readline
2021-11-11 21:32:24,341 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] |     buf += self._read_timeout(timeout)
2021-11-11 21:32:24,341 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] |     buf += self._read_timeout(timeout)
2021-11-11 21:32:24,341 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 622, in _read_timeout
2021-11-11 21:32:24,341 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 622, in _read_timeout
2021-11-11 21:32:24,341 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] |     raise socket.timeout()
2021-11-11 21:32:24,341 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] |     raise socket.timeout()
2021-11-11 21:32:24,342 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] | socket.timeout
2021-11-11 21:32:24,342 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] | socket.timeout
2021-11-11 21:32:24,342 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] | 
2021-11-11 21:32:24,342 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] | 
2021-11-11 21:32:24,342 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] | During handling of the above exception, another exception occurred:
2021-11-11 21:32:24,342 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] | During handling of the above exception, another exception occurred:
2021-11-11 21:32:24,342 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] | 
2021-11-11 21:32:24,342 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] | 
2021-11-11 21:32:24,342 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] | Traceback (most recent call last):
2021-11-11 21:32:24,342 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] | Traceback (most recent call last):
2021-11-11 21:32:24,342 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2039, in run
